OBJECTID,COD_SIG,IDTIPO,INF_NOME,INF_MORADA,INF_TELEFONE,INF_FAX,INF_EMAIL,INF_SITE,INF_DESCRICAO,INF_FONTE,INF_MUNICIPAL,GlobalID
1,3100411001001,2,Teatro Nacional D. Maria II,Praça D. Pedro IV,+351 213 250 800 / 835,,,www.teatro-dmaria.pt,"Graças aos esforços de Almeida Garrett, este teatro foi construído a partir de 1842, segundo projeto do arq. italiano Fortunato Lodi, e inaugurado em 13 de Abril de 1846, por ocasião das comemorações do 27º aniversário de D. Maria II, passando por isso a exibir o seu nome na designação oficial. Designação essa, interrompida entre 1910 e 1939, altura em que passou a ser designado por Teatro Nacional de Almeida Garrett. Edificado no local onde fora o Palácio dos Estaus, antiga Sede da Inquisição, este teatro é uma das obras mais emblemáticas do neoclassicismo de raiz palladiana em Lisboa. De planta retangular, volumetria paralelepipédica e corpos adossados, apresenta superfícies planas rasgadas por vãos simétricos, que exibem uma decoração simplificada. Na fachada principal merecem destaque o pórtico com seis colunas jónicas provenientes do extinto Convento de São Francisco da Cidade, um friso decorativo e um frontão triangular com tímpano esculpido, encimado por três estátuas em acrotério (Gil Vicente, Thalia e Melpomene). Objeto de um grande incêndio em 1964, que destruiu todo o seu interior e cobertura, o edifício viria a ser totalmente reconstruído, respeitando o seu estilo primitivo, tendo reaberto as portas em 1978. Classificado inicialmente como Imóvel de Interesse Público, foi reclassificado para Monumento Nacional.","Teatro D. Maria II; URL",0,0200ef6e-7997-462d-beaa-ee7dc9a540a8
2,2301701019001,2,Edifício-Sede e Parque da Fundação Calouste Gulbenkian,"Avenida de Berna, 45",,,,,"Esta Fundação é uma instituição portuguesa de direito privado e utilidade pública,cujos fins estatutários são a Educação,a Ciência,a Beneficiência e as Artes.Criada por diposição testamentária de Calouste Sarkis Gulbenkian,os seus estatutos foram aprovados em 1956.Com sede em Lisboa,as suas instalações,edifício-sede e museu,projectadas pelos arqs.Ruy Athouguia,Pedro Cid e Alberto Pessoa,foram inauguradas em 1969,integrando áreas reservadas à Administração e Serviços,um Grande Auditório,espaços de exposições temporárias,uma zona de congressos com auditórios e salas,e um amplo edifício que acolhe o Museu Calouste Gulbenkian e a Biblioteca Geral de Arte.Em 1983,foi inaugurado um outro complexo arquitectónico,o Centro de Arte Moderna José Azeredo Perdigão,que compreende um Museu de Arte Moderna e Contemporânea,um Sector Educativo e um Sector de Animação.Todos estes edifícios estão integrados no Parque Gulbenkian,que ocupa uma área de 9 hectares e foi projectado pelo arq. paisagista Ribeiro Telles.Este todo arquitectónico e paisagístico,articulado harmoniosamente,recebeu o Prémio Valmor em 1975.O Edifício-Sede e o Parque da Fundação encontram-se classificados como Monumento Nacional.
",-,0,bf8d6a9c-5d02-43d6-bf08-39a0f87097dd
3,4601204017001,2,Reservatório da Mãe d'Água das Amoreiras,Praça das Amoreiras,+351 218 100 215,,mda.epal@adp.pt,http://www.epal.pt,"Depósito terminal do Aqueduto que D. João V mandou construir, projetado por Carlos Mardel, em 1745,foi concluído em 1834. Monumento Nacional, composto pela Casa das Águas Livres e pela Casa do Registo, é um edifício imponente e sólido, de planta quadrangular, com volumetria quase cúbica, tendo adossado um corpo saliente.Coberto por terraço,as suas fachadas, com pilastras junto aos vértices, são rasgadas por janelas verticais, rematadas em arco pleno. A coroar todo o edifício, uma cornija com carrancas animalistas é encimada por platibanda. No interior destaca-se a sucessão de arcos de volta perfeita assentes em robustos pilares de pedra, o tanque reservatório e a cascata,jorrando a água da boca de um golfinho. Atualmente está musealizado e é palco dos mais diversos eventos culturais.",CICL,0,86dee1fc-b0ce-4cae-98b8-5a129400b1ad
4,4601204017001,2,"Aqueduto das Águas Livres, seus aferentes e correlacionados ","Concelhos de Lisboa, Amadora, Odivelas, Oeiras e Sintra; Calçada Bento da Rocha Cabral, 7 e Praça das Amoreiras, 10 (Mãe d'Água (EPAL)) ",+351 218 100 215,,mda.epal@adp.pt,www.epal.pt,"O Aqueduto é uma obra notável de engenharia hidráulica, concebida para celebrar a entrada da água em Lisboa. Iniciado em 1732, no reinado de D. João V, em estilo barroco e neoclássico, contou com a participação de arquitectos como Cannevari, Manuel da Maia, Custódio Vieira e Carlos Mardel.Desde a nascente, a 2 km de Belas, até à Mãe d'Água das Amoreiras, incluindo os ramais, o Aqueduto estende-se por cerca de 59 km. Merecem destaque: a Arcaria do Vale de Alcântara, com 35 arcos (21 plenos e 14 quebrados); o Arco das Amoreiras, em forma de arco triunfal, tendo como base um arco pleno ladeado por pilastras dóricas, que suportam um entablamento com lápide votiva e frontão triangular; e a Mãe d'Água das Amoreiras,reservatório de recepção (ver registo separado). A funcionar desde 1748, foi desactivado no 3º quartel do séc. XX, tendo sido reaberto ao passeio público em 1986. A Classificação como Monumento Nacional abrange o Aqueduto das Águas Livres, seus aferentes e correlacionados.",CICL,0,cf247e78-18d1-4e60-a41a-e7440173845b
5,3800805001001,2,Paços de São Cristóvão (Porta lateral),"Largo de São Cristóvão, 1; Rua do Regedor, 2",,,,,"Formado por arquitectura nobre e religiosa, este conjunto, atesta bem a importância que o local teve desde a idade média até à reforma pombalina.Aqui habitou D. Leonor,filha de D. Duarte,a partir de 1451,após aí ter celebrado o seu casamento,(por procuração),com Frederico III,Imperador da Alemanha.Posteriormente,o Paço de S. Cristóvão transformou-se na residência dos Condes de Aveiras e Marqueses de Vagos,Morgados do Regedor,o qual deu o nome à rua onde o imóvel se encontra implantado.Do paço primitivo ficou apenas o portal lateral gótico,quatrocentista,de colunas torsas,incluindo a do travejamento,único elemento do conjunto classificado como Monumento Nacional.Apesar de ter sido reformulado no reinado de D. João V,o adiantado estado de degradação em que o deixou o terramoto de 1755 levou a que se efectuassem obras de reconstrução,das quais subsistiu a fachada principal,com cantarias e janelas joaninas.Em 1864,o Marquês de Vagos vendeu o seu palácio,o qual foi objecto de novas intervenções,tanto no séc. XIX,como no séc. XX,dando lugar ao acrescento de pavilhões anexos e de novos andares,conferindo o aspecto actual ao edifício,pertencente à Associação de Socorros Mútuos de Empregados de Comércio de Lisboa,desde 1913.",CICL,0,f7225264-3011-4677-ac85-e29b0172c321
6,5200305001001,2,Sé de Lisboa (Igreja de Santa Maria Maior),Largo da Sé,,,,,"Classificada como Monumento Nacional, é também conhecida por Igreja de Sta. Maria Maior. Edificada após a reconquista da cidade aos mouros, em 1147, foi construída sobre uma antiga mesquita muçulmana, tendo adoptado um esquema idêntico ao da Sé de Coimbra, com 3 naves, trifório sobre as naves laterais, transepto saliente e cabeceira tripartida. Com predomínio do estilo românico-gótico e alguns pormenores barrocos e neoclássicos, a Sé é o resultado de sucessivas intervenções, sendo que as campanhas de restauro da 1ª metade do séc. XX procuraram devolver-lhe a sua traça medieval. No interior destacam-se: a Capela de Bartolomeu de Joanes; o claustro gótico dionisino; a cabeceira com deambulatório; e as escavações sob o claustro,(desde 1990), que puseram a descoberto as sucessivas ocupações deste espaço (até à época islâmica).",CICL,0,bcf4f5fe-a94f-4da5-8d43-1000634bd652
7,5200304001001,2,Igreja de Santo António de Lisboa,Largo de Santo António da Sé,+351 218 869 145,,,,"Igreja reconstruida, a partir de 1767, segundo risco de Mateus Vicente de Oliveira, sensivelmente no mesmo local do templo primitivo, destruído pelo terramoto. Monumento Nacional, é um edifício tardo-barroco de linhas sinuosas marcadas no desenho do frontão e da escadaria. Com planta longitudinal, em cruz latina, apresenta nave única, coberta por abóbada de berço, recorrendo à utilização abundante dos mármores. Do recheio da igreja destacam-se: as telas de Pedro Alexandrino de Carvalho, localizadas no transepto; as grades neomedievais do arqº Vasco Regaleira a imitar a célebre grade da Sé de Lisboa; o programa azulejar da sacristia, da 2ª metade do séc. XVIII; a imagem de Sto. António recuperada do templo inicial; e a pequena cripta que simboliza, segundo a tradição, o local de nascimento de Santo António. Tem em anexo um museu, Museu Antoniano, dedicado à iconografia do Santo.",CICL,1,1431beae-5ecc-4f87-9385-370bca7cfd46
8,2700301048001,2,Igreja do Convento do Carmo,Largo do Carmo,,,,,"Antigo convento carmelita de Nossa Senhora do Vencimento do Monte do Carmo, mandado construir, em 1389, pelo Condestável D. Nuno Álvares Pereira, ficou concluído nas primeiras décadas do séc. XV. Profundamente afetado pelo terramoto de 1755, não voltou a ser reconstruído, embora intervenções posteriores tenham alterado a sua feição inicial. Traduz uma arquitetura religiosa ""gótica"", de influência batalhina, e romântica pelo seu carácter de ruína. Da fachada da igreja subsistiu o óculo original, assim como o portal de arco quebrado com seis arquivoltas sobre colunas de capitéis vegetalistas, coroados por rostos humanos. Tinha planta em cruz latina, três naves com cinco tramos, transepto saliente e cabeceira escalonada com capela-mor ladeada por quatro absidíolos. As ruínas da igreja acolhem, desde 1864, a sede e o espólio museológico da Associação dos Arqueólogos Portugueses - Museu Arqueológico do Carmo (MAC). Na parte conventual está instalado um quartel da GNR. Para além da Igreja estar classificada como Monumento Nacional, Igreja e Convento fazem parte da Lisboa Pombalina, que está classificada como Conjunto de Interesse Público.",Diário da República,0,ccdbeadf-e27c-474b-bdbe-3845585b8f38
9,3202701025001,2,Palácio Nacional de Belém (conjunto intramuros),Praça Afonso de Albuquerque,+351 213 614 660,,museu@presidencia.pt,www.museu.presidencia.pt,"O início da sua construção remonta ao séc. XVI por iniciativa de  D. Manuel de Portugal. Em 1726, D. João V, tendo adquirido a propriedade, procede a melhoramentos, resultando um palácio de recreio com jardim. O edifício só foi verdadeiramente habitado por D. José I, que aí se encontrava à data do terramoto de 1755. Afectado pelo sismo, sofreu obras de recuperação. Por iniciativa do Infante D. João iniciou-se, em 1787, a construção do Picadeiro de Belém, actual Museu dos Coches, de gosto neoclássico. A partir de 1890 destinou-se à instalação de convidados estrangeiros, até que com a queda da monarquia, em 1910, tornou-se na residência oficial do Presidente da República. De feição barroca e neoclássica, este edifício foi classificado como Imóvel de Interesse Público em Janeiro de 1967, classificação essa revogada a favor de uma classificação como Monumento Nacional desde Agosto de 2007, incluindo não só o edifício do Palácio, os respectivos jardins, lagos e estatuária, assim como o Jardim Botânico Tropical (Ex Jardim-Museu Agrícola Tropical),o Picadeiro (Museu Nacional dos Coches), as adições recentes, nomeadamente a nova ala de serviços e o novo Museu da Presidência da República, e o património integrado do palácio. Tem como referência obrigatória os belos jardins, os Pátios das Damas e dos Bichos, e as Salas das Bicas, Dourada, do Império e Luís XV. Como decoração geral apresenta temática mitológica e alguns painéis azulejares setecentistas. Merece ainda um especial destaque, o conjunto de quadros da autoria da pintora Paula Rego integrado na capela.",CICL,0,77fa959b-e397-45c3-a59c-c3759f344fe5
10,2106718019001,2,Portal e Galilé da Igreja de Chelas,"Largo de Chelas, Igreja e Convento de Chelas",,,,,"Antigo Convento de S. Félix e Sto. Adrião de Chelas, em virtude de acolher as relíquias destes santos mártires, que a partir de 1290 ficou na posse da Ordem de Sto. Agostinho. As suas origens remontam a uma ocupação visigótica sobre antigas estruturas romanas, embora as primeiras evidências materiais que subsistem datam do séc. X. Objecto de várias campanhas de obras, nomeadamente românica, gótica e manuelina, merecem destaque desta última os dois únicos elementos classificados como Monumento Nacional: a galilé de acesso à igreja, integralmente revestida com azulejos seiscentistas, de onde sobressai o portal manuelino, enquadrado por um tapete de cerâmica polícroma. Em 1604, o convento foi reconstruído na íntegra e, após o terramoto de 1755, a igreja seguiu o mesmo exemplo, aproveitando-se pouco mais do que a sua fachada, tendo sido enriquecida, no interior, com valiosa obra de talha. Um incêndio terá destruído a sua decoração, pelo que restam, apenas, os azulejos polícromos do átrio, o pórtico e a galilé como motivos de interesse. Após a extinção das ordens religiosas o edifício conventual, bastante modificado, foi adaptado a fábrica de pólvora e, a partir de 1898, a Arquivo Geral do Exército. No entanto, manteve as características essenciais da intervenção do início de Seiscentos, um claustro com uma fonte, bancos de espaldar inclinados, alegretes com azulejos azuis e brancos, um crucifixo de azulejos com a data de 1667 inscrita na base, para além de todo o património azulejar do séc. XVIII, que ainda se conserva no Museu Arqueológico do Carmo.
",CICL,0,eeeeacd7-4d11-4406-84b0-c31acf47caca
